Close_x,drop_percent_x,Close_y,drop_percent_y,day
6732.4,0.0,7674.56,0.0,1
6703.5,-0.43,7651.44,-0.3,2
6650.2,-1.22,7610.7,-0.83,3
6649.3,-1.23,7571.92,-1.34,4
6596.0,-2.03,7507.67,-2.17,5
6567.4,-2.45,7585.98,-1.15,6
6588.4,-2.14,7412.05,-3.42,7
6559.3,-2.57,7480.69,-2.53,8
6527.6,-3.04,7483.57,-2.49,9
6571.3,-2.39,7381.96,-3.81,10
6607.9,-1.85,7286.01,-5.06,11
6590.6,-2.11,7326.31,-4.54,12
6639.8,-1.38,7439.82,-3.06,13
6673.1,-0.88,7482.48,-2.5,14
6635.2,-1.44,7504.79,-2.21,15
6690.1,-0.63,7466.7,-2.71,16
6712.7,-0.29,7446.88,-2.97,17
6630.9,-1.51,7499.44,-2.28,18
6615.1,-1.74,7534.37,-1.83,19
6697.7,-0.52,7452.03,-2.9,20
6716.7,-0.23,7409.13,-3.46,21
6697.7,-0.52,7433.25,-3.14,22
6659.1,-1.09,7382.01,-3.81,23
6567.1,-2.46,7457.02,-2.83,24
6640.2,-1.37,7436.64,-3.1,25
6585.2,-2.19,7403.92,-3.53,26
6624.4,-1.6,7156.83,-6.75,27
6498.7,-3.47,7017.88,-8.56,28
6454.3,-4.13,7042.47,-8.24,29
6251.2,-7.15,6796.4,-11.44,30
6215.2,-7.68,6580.61,-14.25,31
6206.1,-7.82,6654.89,-13.29,32
6360.1,-5.53,6718.2,-12.46,33
6250.6,-7.16,6815.59,-11.19,34
6300.3,-6.42,6705.43,-12.63,35
6224.3,-7.55,6462.55,-15.79,36
6189.1,-8.07,5965.77,-22.27,37
6308.8,-6.29,5960.23,-22.34,38
6393.9,-5.03,5876.52,-23.43,39
6271.2,-6.85,5237.48,-31.76,40
6038.3,-10.31,5366.11,-30.08,41
6219.0,-7.63,5151.08,-32.88,42
6143.5,-8.75,5294.9,-31.01,43
6109.3,-9.26,5080.58,-33.8,44
5858.9,-12.97,5151.61,-32.87,45
6064.2,-9.93,5190.78,-32.36,46
6078.7,-9.71,4993.89,-34.93,47
6086.1,-9.6,5446.01,-29.04,48
6196.0,-7.97,5688.2,-25.88,49
6196.9,-7.95,5815.73,-24.22,50
6220.1,-7.61,5510.33,-28.2,51
6102.2,-9.36,5563.74,-27.5,52
6132.2,-8.92,5671.96,-26.09,53
6212.0,-7.73,5454.57,-28.93,54
6303.3,-6.37,5480.22,-28.59,55
6315.2,-6.2,5415.5,-29.44,56
6376.8,-5.28,5582.39,-27.26,57
6270.7,-6.86,5704.45,-25.67,58
6313.3,-6.23,5677.73,-26.02,59
6191.2,-8.04,5842.66,-23.87,60
6280.7,-6.71,5791.31,-24.54,61
6306.2,-6.33,5597.65,-27.06,62
6363.9,-5.47,5628.43,-26.66,63
6289.3,-6.58,5786.96,-24.6,64
6182.8,-8.16,,,65
6283.3,-6.67,,,66
6460.0,-4.05,,,67
6429.0,-4.51,,,68
6456.7,-4.1,,,69
6465.9,-3.96,,,70
6396.9,-4.98,,,71
6433.0,-4.45,,,72
6486.4,-3.65,,,73
6466.8,-3.95,,,74
6506.2,-3.36,,,75
6500.4,-3.45,,,76
6535.2,-2.93,,,77
6547.9,-2.74,,,78
6595.8,-2.03,,,79
6540.9,-2.84,,,80
6615.4,-1.74,,,81
6633.0,-1.48,,,82
6724.5,-0.12,,,83
6730.7,-0.03,,,84
6644.5,-1.31,,,85
6614.3,-1.75,,,86
6677.7,-0.81,,,87
6609.4,-1.83,,,88
6527.9,-3.04,,,89
6459.3,-4.06,,,90
6514.0,-3.24,,,91
6482.0,-3.72,,,92
6576.3,-2.32,,,93
6661.3,-1.06,,,94
6706.0,-0.39,,,95
6659.0,-1.09,,,96
6721.6,-0.16,,,97
6586.1,-2.17,,,98
6530.6,-3.0,,,99
6461.4,-4.03,,,100
6474.9,-3.82,,,101
6385.1,-5.16,,,102
6381.9,-5.21,,,103
6304.9,-6.35,,,104
6337.9,-5.86,,,105
6362.4,-5.5,,,106
6432.1,-4.46,,,107
6359.6,-5.54,,,108
6291.2,-6.55,,,109
6120.8,-9.08,,,110
6226.5,-7.51,,,111
6070.9,-9.83,,,112
6155.3,-8.57,,,113
6262.1,-6.99,,,114
6140.7,-8.79,,,115
6306.2,-6.33,,,116
6349.1,-5.69,,,117
6432.5,-4.45,,,118
6386.6,-5.14,,,119
6315.2,-6.2,,,120
6493.8,-3.54,,,121
6485.6,-3.67,,,122
6554.9,-2.64,,,123
6565.4,-2.48,,,124
6536.9,-2.9,,,125
6559.8,-2.56,,,126
6364.2,-5.47,,,127
6397.0,-4.98,,,128
6277.8,-6.75,,,129
6284.5,-6.65,,,130
6345.6,-5.75,,,131
6434.1,-4.43,,,132
6497.8,-3.48,,,133
6476.9,-3.8,,,134
6416.7,-4.69,,,135
6479.4,-3.76,,,136
6348.5,-5.7,,,137
6335.7,-5.89,,,138
6356.5,-5.58,,,139
6272.7,-6.83,,,140
6222.7,-7.57,,,141
6202.0,-7.88,,,142
6215.7,-7.67,,,143
6025.6,-10.5,,,144
5942.9,-11.73,,,145
5902.4,-12.33,,,146
5901.7,-12.34,,,147
5578.2,-17.14,,,148
5740.1,-14.74,,,149
5609.3,-16.68,,,150
5875.8,-12.72,,,151
5869.0,-12.82,,,152
5788.9,-14.01,,,153
5885.2,-12.58,,,154
5837.3,-13.3,,,155
5879.8,-12.66,,,156
6029.2,-10.45,,,157
6026.2,-10.49,,,158
5868.0,-12.84,,,159
5875.4,-12.73,,,160
5724.1,-14.98,,,161
5784.0,-14.09,,,162
5707.7,-15.22,,,163
5910.0,-12.22,,,164
5880.1,-12.66,,,165
5879.3,-12.67,,,166
5787.6,-14.03,,,167
5946.6,-11.67,,,168
5966.9,-11.37,,,169
5893.6,-12.46,,,170
5932.2,-11.89,,,171
5888.5,-12.53,,,172
5999.5,-10.89,,,173
6087.4,-9.58,,,174
6076.5,-9.74,,,175
5965.7,-11.39,,,176
5884.3,-12.6,,,177
5818.6,-13.57,,,178
5767.7,-14.33,,,179
5853.5,-13.05,,,180
5766.4,-14.35,,,181
5699.9,-15.34,,,182
5629.1,-16.39,,,183
5690.4,-15.48,,,184
5776.4,-14.2,,,185
5692.4,-15.45,,,186
5631.7,-16.35,,,187
5414.4,-19.58,,,188
5605.8,-16.73,,,189
5545.6,-17.63,,,190
5495.2,-18.38,,,191
5689.1,-15.5,,,192
5660.4,-15.92,,,193
5717.5,-15.07,,,194
5692.9,-15.44,,,195
5702.1,-15.3,,,196
5852.6,-13.07,,,197
5915.9,-12.13,,,198
5891.3,-12.49,,,199
5947.1,-11.66,,,200
6014.8,-10.66,,,201
5990.2,-11.02,,,202
5983.9,-11.12,,,203
5965.1,-11.4,,,204
5895.5,-12.43,,,205
5831.6,-13.38,,,206
5906.9,-12.26,,,207
6046.2,-10.19,,,208
5980.4,-11.17,,,209
6056.5,-10.04,,,210
6053.0,-10.09,,,211
6034.7,-10.36,,,212
6083.6,-9.64,,,213
6050.7,-10.13,,,214
6091.4,-9.52,,,215
6090.4,-9.54,,,216
6089.4,-9.55,,,217
6087.3,-9.58,,,218
6087.3,-9.58,,,219
6215.5,-7.68,,,220
6215.2,-7.68,,,221
6261.0,-7.0,,,222
6270.8,-6.86,,,223
6204.7,-7.84,,,224
6220.6,-7.6,,,225
6211.9,-7.73,,,226
6216.0,-7.67,,,227
6251.8,-7.14,,,228
6304.3,-6.36,,,229
6376.5,-5.29,,,230
6191.6,-8.03,,,231
6198.1,-7.94,,,232
6181.6,-8.18,,,233
6087.3,-9.58,,,234
6058.5,-10.01,,,235
6069.6,-9.84,,,236
6068.1,-9.87,,,237
6053.5,-10.08,,,238
6007.6,-10.77,,,239
6057.7,-10.02,,,240
5970.1,-11.32,,,241
5995.3,-10.95,,,242
5906.8,-12.26,,,243
5877.6,-12.7,,,244
5827.3,-13.44,,,245
5723.3,-14.99,,,246
5790.5,-13.99,,,247
5802.8,-13.81,,,248
5794.6,-13.93,,,249
5861.9,-12.93,,,250
5756.9,-14.49,,,251
5708.4,-15.21,,,252
5620.8,-16.51,,,253
5667.2,-15.82,,,254
5634.7,-16.3,,,255
5666.1,-15.84,,,256
5518.2,-18.04,,,257
5529.9,-17.86,,,258
5625.9,-16.44,,,259
5479.9,-18.6,,,260
5426.3,-19.4,,,261
5476.6,-18.65,,,262
5412.8,-19.6,,,263
5512.7,-18.12,,,264
5440.5,-19.19,,,265
5529.6,-17.87,,,266
5406.8,-19.69,,,267
5261.6,-21.85,,,268
5300.4,-21.27,,,269
5171.9,-23.18,,,270
5150.6,-23.5,,,271
5286.3,-21.48,,,272
5376.4,-20.14,,,273
5404.3,-19.73,,,274
5364.1,-20.32,,,275
5449.9,-19.05,,,276
5362.3,-20.35,,,277
5352.6,-20.49,,,278
5312.6,-21.09,,,279
5319.2,-20.99,,,280
5420.7,-19.48,,,281
5411.9,-19.61,,,282
5354.7,-20.46,,,283
5320.2,-20.98,,,284
5454.5,-18.98,,,285
5486.1,-18.51,,,286
5477.5,-18.64,,,287
5489.2,-18.47,,,288
5541.8,-17.68,,,289
5534.5,-17.79,,,290
5448.6,-19.07,,,291
5497.4,-18.34,,,292
5454.8,-18.98,,,293
5450.2,-19.05,,,294
5320.4,-20.97,,,295
5371.8,-20.21,,,296
5370.2,-20.23,,,297
5505.6,-18.22,,,298
5470.7,-18.74,,,299
5528.1,-17.89,,,300
5601.2,-16.8,,,301
5636.6,-16.28,,,302
5602.8,-16.78,,,303
5620.7,-16.51,,,304
5499.7,-18.31,,,305
5362.1,-20.35,,,306
5240.7,-22.16,,,307
5446.3,-19.1,,,308
5415.6,-19.56,,,309
5366.2,-20.29,,,310
5318.4,-21.0,,,311
5416.7,-19.54,,,312
5204.2,-22.7,,,313
5025.6,-25.35,,,314
4912.4,-27.03,,,315
4880.0,-27.51,,,316
5311.3,-21.11,,,317
5236.26,-22.22,,,318
5136.12,-23.71,,,319
5095.57,-24.31,,,320
5197.02,-22.81,,,321
5088.47,-24.42,,,322
4818.77,-28.42,,,323
4902.45,-27.18,,,324
4959.59,-26.33,,,325
4870.34,-27.66,,,326
4980.25,-26.03,,,327
4589.19,-31.83,,,328
4605.22,-31.6,,,329
4366.69,-35.14,,,330
4313.8,-35.92,,,331
3932.06,-41.59,,,332
4256.9,-36.77,,,333
4394.21,-34.73,,,334
4079.59,-39.4,,,335
3861.39,-42.64,,,336
4063.01,-39.65,,,337
4282.67,-36.39,,,338
4229.73,-37.17,,,339
4040.89,-39.98,,,340
4087.83,-39.28,,,341
3883.36,-42.32,,,342
3852.59,-42.78,,,343
3926.38,-41.68,,,344
4242.54,-36.98,,,345
4291.65,-36.25,,,346
4377.34,-34.98,,,347
4443.28,-34.0,,,348
4639.5,-31.09,,,349
4530.73,-32.7,,,350
4272.41,-36.54,,,351
4364.96,-35.16,,,352
4403.92,-34.59,,,353
4246.69,-36.92,,,354
4182.02,-37.88,,,355
4169.21,-38.07,,,356
4232.97,-37.13,,,357
4132.16,-38.62,,,358
4208.55,-37.49,,,359
4005.68,-40.5,,,360
3874.99,-42.44,,,361
3780.96,-43.84,,,362
4152.96,-38.31,,,363
4171.25,-38.04,,,364
4152.69,-38.32,,,365
4226.1,-37.23,,,366
4288.01,-36.31,,,367
4065.49,-39.61,,,368
4122.86,-38.76,,,369
4169.96,-38.06,,,370
4163.61,-38.16,,,371
4049.37,-39.85,,,372
4300.06,-36.13,,,373
4381.26,-34.92,,,374
4367.28,-35.13,,,375
4388.69,-34.81,,,376
4280.35,-36.42,,,377
4277.56,-36.46,,,378
4309.08,-35.99,,,379
4324.19,-35.77,,,380
4330.66,-35.67,,,381
4286.93,-36.32,,,382
4249.16,-36.88,,,383
4255.98,-36.78,,,384
4319.35,-35.84,,,385
4392.68,-34.75,,,386
4561.79,-32.24,,,387
4579.64,-31.98,,,388
4638.92,-31.1,,,389
4507.51,-33.05,,,390
4505.37,-33.08,,,391
4448.54,-33.92,,,392
4426.19,-34.26,,,393
4399.15,-34.66,,,394
4180.64,-37.9,,,395
4121.11,-38.79,,,396
4147.06,-38.4,,,397
4108.47,-38.97,,,398
4091.4,-39.23,,,399
4059.88,-39.7,,,400
4052.23,-39.81,,,401
4052.47,-39.81,,,402
4209.01,-37.48,,,403
4194.41,-37.7,,,404
4295.2,-36.2,,,405
4190.11,-37.76,,,406
4149.64,-38.36,,,407
4077.78,-39.43,,,408
4164.46,-38.14,,,409
4228.6,-37.19,,,410
4228.93,-37.19,,,411
4291.87,-36.25,,,412
4307.61,-36.02,,,413
4213.08,-37.42,,,414
4234.26,-37.11,,,415
4202.24,-37.58,,,416
4189.59,-37.77,,,417
4134.75,-38.58,,,418
4034.13,-40.08,,,419
4006.83,-40.48,,,420
4018.37,-40.31,,,421
3889.06,-42.23,,,422
3850.73,-42.8,,,423
3816.44,-43.31,,,424
3848.98,-42.83,,,425
3915.64,-41.84,,,426
3830.09,-43.11,,,427
3625.83,-46.14,,,428
3512.09,-47.83,,,429
3645.87,-45.85,,,430
3529.86,-47.57,,,431
3530.73,-47.56,,,432
3542.4,-47.38,,,433
3715.23,-44.82,,,434
3693.81,-45.13,,,435
3712.06,-44.86,,,436
3753.68,-44.24,,,437
3863.99,-42.61,,,438
3857.1,-42.71,,,439
3804.99,-43.48,,,440
3816.93,-43.31,,,441
3842.85,-42.92,,,442
3952.81,-41.29,,,443
3911.46,-41.9,,,444
