Date,High,Low,Open,Close,Volume,Adj Close
2019-06-03,5664.0,5554.0,5664.0,5592.0,112289.0,5538.4306640625
2019-06-04,5796.0,5552.0,5552.0,5748.0,180701.0,5692.93603515625
2019-06-05,5876.0,5726.0,5726.0,5802.0,171389.0,5746.4189453125
2019-06-06,5924.0,5824.0,5848.0,5892.0,364062.0,5835.556640625
2019-06-07,5946.0,5854.0,5892.0,5860.0,126927.0,5803.86328125
2019-06-10,5936.0,5876.0,5916.0,5892.0,113204.0,5835.556640625
2019-06-11,5912.0,5850.0,5890.0,5860.0,357469.0,5803.86328125
2019-06-12,5870.0,5738.0,5790.0,5832.0,220345.0,5776.13134765625
2019-06-13,5870.0,5816.0,5860.0,5830.0,165850.0,5774.150390625
2019-06-14,5900.0,5816.0,5838.0,5888.0,169910.0,5831.5947265625
2019-06-17,5930.0,5810.0,5900.0,5810.0,225374.0,5754.34228515625
2019-06-18,5846.0,5742.0,5846.0,5834.0,139167.0,5778.1123046875
2019-06-19,5940.0,5800.0,5800.0,5914.0,156984.0,5857.345703125
2019-06-20,6068.0,5878.0,5878.0,6036.0,137195.0,5978.17724609375
2019-06-21,6086.0,5754.0,6062.0,5864.0,922071.0,5807.82470703125
2019-06-24,5858.0,5642.0,5800.0,5690.0,414160.0,5635.49169921875
2019-06-25,5658.0,5566.0,5632.0,5620.0,675287.0,5566.162109375
2019-06-26,5696.0,5542.0,5588.0,5696.0,472000.0,5641.43408203125
2019-06-27,5876.0,5576.0,5692.0,5700.0,258856.0,5645.39599609375
2019-06-28,5952.0,5716.0,5728.0,5928.0,558414.0,5871.2119140625
2019-07-01,6208.0,5938.0,5938.0,6172.0,458059.0,6112.87451171875
2019-07-02,6156.0,5996.0,6100.0,6134.0,339571.0,6075.23828125
2019-07-03,7340.0,6138.0,6158.0,6838.0,899842.0,6772.494140625
2019-07-04,7032.0,6804.0,6810.0,6890.0,252117.0,6823.99609375
2019-07-05,6900.0,6758.0,6900.0,6762.0,195214.0,6697.22216796875
2019-07-08,6812.0,6672.0,6756.0,6690.0,387240.0,6625.912109375
2019-07-09,6700.0,6570.0,6700.0,6672.0,199405.0,6608.08447265625
2019-07-10,6740.0,6580.0,6632.0,6678.0,165900.0,6614.02685546875
2019-07-11,6730.0,6636.0,6730.0,6686.0,156025.0,6621.9501953125
2019-07-12,6786.0,6674.0,6700.0,6726.0,105115.0,6661.5673828125
2019-07-15,7046.0,6726.0,6758.0,7010.0,214602.0,6942.8466796875
2019-07-16,7048.0,6896.0,7038.0,6974.0,161018.0,6907.19140625
2019-07-17,7020.0,6896.0,7020.0,6942.0,99207.0,6875.498046875
2019-07-18,6944.0,6868.0,6944.0,6868.0,130414.0,6802.20703125
2019-07-19,6986.0,6888.0,6908.0,6970.0,129454.0,6903.22998046875
2019-07-22,7440.0,6914.0,7000.0,6982.0,225317.0,6915.11474609375
2019-07-23,7000.0,6892.0,6996.0,6914.0,111930.0,6847.76611328125
2019-07-24,7028.0,6908.0,6994.0,6970.0,181301.0,6903.22998046875
2019-07-25,7048.0,6826.0,7012.0,6858.0,155517.0,6792.302734375
2019-07-26,6886.0,6828.0,6828.0,6886.0,113775.0,6820.03466796875
2019-07-29,6906.0,6826.0,6832.0,6850.0,174712.0,6784.37939453125
2019-07-30,6876.0,6678.0,6850.0,6692.0,185644.0,6627.89306640625
2019-07-31,6805.919921875,6508.0,6670.0,6540.0,377277.0,6477.34912109375
2019-08-01,6602.0,6498.0,6568.0,6498.0,569451.0,6435.75146484375
2019-08-02,6586.0,6382.0,6454.0,6546.0,178515.0,6483.29150390625
2019-08-05,6546.0,6290.0,6522.0,6320.0,188200.0,6259.45654296875
2019-08-06,6390.0,6204.0,6278.0,6228.0,211809.0,6168.337890625
2019-08-07,6654.0,6242.0,6320.0,6600.0,703046.0,6536.7744140625
2019-08-08,6736.0,6550.0,6584.0,6700.0,182543.0,6635.81640625
2019-08-09,6796.0,6626.0,6668.0,6626.0,146574.0,6562.525390625
2019-08-12,6726.0,6534.0,6640.0,6600.0,102080.0,6536.7744140625
2019-08-13,6716.0,6538.0,6610.0,6640.0,100125.0,6576.39111328125
2019-08-14,6684.0,6470.0,6684.0,6502.0,158147.0,6439.712890625
2019-08-15,6598.0,6370.0,6556.0,6396.0,111029.0,6334.728515625
2019-08-16,6522.0,6370.0,6498.0,6510.0,121387.0,6447.63623046875
2019-08-19,6582.0,6450.81982421875,6484.0,6488.0,98518.0,6425.84716796875
2019-08-20,6530.0,6372.0,6530.0,6434.0,174439.0,6372.3642578125
2019-08-21,6684.0,6384.0,6384.0,6684.0,147109.0,6619.9697265625
2019-08-22,6782.0,6626.0,6642.0,6776.0,137160.0,6711.08837890625
2019-08-23,6830.0,6686.0,6782.0,6720.0,394242.0,6655.62451171875
2019-08-27,6802.0,6680.0,6758.0,6754.0,530563.0,6689.298828125
2019-08-28,6844.0,6700.0,6774.0,6796.0,156402.0,6730.896484375
