Date,High,Low,Open,Close,Volume,Adj Close
2014-01-02,693.0,677.5,692.5,681.5,701737.0,567.5507202148438
2014-01-03,696.0,679.7999877929688,683.5,692.0,559109.0,576.2951049804688
2014-01-06,695.5339965820312,688.0,688.5,690.0,298226.0,574.6295166015625
2014-01-07,692.5,687.0800170898438,689.5,692.0,592311.0,576.2951049804688
2014-01-08,698.5,682.5,691.5,698.5,544436.0,581.7083740234375
2014-01-09,705.0,690.0,700.0,690.5,502750.0,575.0459594726562
2014-01-10,696.0,688.0,690.5,689.5,308405.0,574.2131958007812
2014-01-13,693.5349731445312,683.0,688.0,684.0,476636.0,569.6327514648438
2014-01-14,696.0,680.0,680.0,695.0,602155.0,578.7935791015625
2014-01-15,701.0,690.0,697.0,695.5,599884.0,579.2099609375
2014-01-16,707.0,690.5,690.5,699.5,617556.0,582.5410766601562
2014-01-17,701.5,687.0,701.5,699.0,417295.0,582.1246337890625
2014-01-20,698.0,689.5,697.0,691.5,371710.0,575.878662109375
2014-01-21,696.0,680.0,691.5,683.0,344896.0,568.7999877929688
2014-01-22,699.5,682.5,684.0,699.5,476926.0,582.5410766601562
2014-01-23,697.5,686.0,693.0,693.0,311102.0,577.1279296875
2014-01-24,699.5,687.5,687.5,699.5,629267.0,582.5410766601562
2014-01-27,697.5,681.5,697.5,690.0,506519.0,574.6295166015625
2014-01-28,702.0,688.0,688.0,701.0,473639.0,583.7903442382812
2014-01-29,718.0,698.0,703.5,700.0,1041556.0,582.9574584960938
2014-01-30,705.5,691.5,705.5,693.0,774779.0,577.1279296875
2014-01-31,696.0,686.5,695.0,693.0,640095.0,577.1279296875
2014-02-03,698.0,688.5,694.5,692.0,413751.0,576.2951049804688
2014-02-04,695.0,688.0,693.0,690.0,493019.0,574.6295166015625
2014-02-05,698.5,688.5,692.0,694.5,923625.0,578.3771362304688
2014-02-06,715.5,694.0,698.5,713.5,667231.0,594.2002563476562
2014-02-07,726.0,710.0,717.5,712.5,648055.0,593.367431640625
2014-02-10,714.4000244140625,701.0,713.5,705.5,290097.0,587.537841796875
2014-02-11,716.0,701.0,703.0,716.0,593317.0,596.2821655273438
2014-02-12,725.0,715.0,715.0,717.5,371459.0,597.5313720703125
2014-02-13,733.5,713.5,719.5,733.5,414125.0,610.856201171875
2014-02-14,735.0,721.0,729.5,723.5,402424.0,602.5282592773438
2014-02-17,732.5,722.375,726.5,732.5,205175.0,610.0232543945312
2014-02-18,734.5,726.5,730.0,732.5,388591.0,610.0232543945312
2014-02-19,731.0,722.5,726.0,729.0,289790.0,607.1085815429688
2014-02-20,736.0,718.5,723.5,736.0,587556.0,612.9381713867188
2014-02-21,751.5,730.0,740.0,750.0,719183.0,624.597412109375
2014-02-24,752.0,741.0,746.0,744.5,303054.0,620.0169677734375
2014-02-25,761.5,740.5,749.0,759.5,562900.0,632.5089111328125
2014-02-26,765.5,755.0,759.0,760.5,337873.0,633.3416748046875
2014-02-27,765.0,746.5,759.5,763.0,503382.0,635.4236450195312
2014-02-28,784.0,760.5,764.5,777.5,494868.0,647.4992065429688
2014-03-03,772.5,750.0,772.5,752.0,318146.0,626.262939453125
2014-03-04,762.0,748.0,759.0,758.0,540138.0,631.2597045898438
2014-03-05,759.5,738.0750122070312,757.5,748.0,454679.0,622.9317626953125
2014-03-06,751.0,733.5,751.0,735.5,486680.0,612.5217895507812
2014-03-07,743.5,729.3300170898438,734.5,732.0,449705.0,609.60693359375
2014-03-10,741.0,726.5,728.0,729.5,290590.0,607.5250244140625
2014-03-11,738.0,728.0,728.0,734.0,162609.0,611.2725830078125
2014-03-12,747.5,727.0,732.0,727.0,341512.0,605.4430541992188
2014-03-13,736.5,725.5,727.0,729.5,235082.0,607.5250244140625
2014-03-14,732.0150146484375,723.5,727.0,727.0,519353.0,605.4430541992188
2014-03-17,746.0,726.5,732.0,739.5,415175.0,615.8529663085938
2014-03-18,745.0,730.0,737.0,742.0,395107.0,617.9349975585938
2014-03-19,744.2000122070312,723.5,741.0,725.0,834985.0,603.7774047851562
2014-03-20,727.0,707.0,723.0,722.0,522568.0,601.279052734375
2014-03-21,727.0,717.0,721.0,720.0,2719724.0,599.6134033203125
2014-03-24,720.0,711.5,718.5,717.5,329184.0,597.5313720703125
2014-03-25,737.5,717.0,717.0,736.5,292135.0,613.3546752929688
2014-03-26,747.5,733.0,739.5,734.0,249267.0,611.2725830078125
2014-03-27,736.0,727.5,731.5,732.0,174665.0,609.60693359375
2014-03-28,737.0,728.5,732.5,729.5,251290.0,607.5250244140625
2014-03-31,743.0,732.0700073242188,735.0,742.0,358615.0,617.9349975585938
2014-04-01,750.0,736.5,742.0,742.0,357611.0,617.9349975585938
2014-04-02,746.0,731.5,741.5,735.5,226235.0,612.5217895507812
2014-04-03,738.0,721.5,735.5,725.0,302223.0,603.7774047851562
2014-04-04,741.0,724.0,724.0,738.0,469741.0,614.603759765625
2014-04-07,739.5,722.5,735.0,727.0,345982.0,605.4430541992188
2014-04-08,729.5,692.0,729.5,708.0,650621.0,589.6199340820312
2014-04-09,724.0,704.0,710.5,705.0,434007.0,587.1214599609375
2014-04-10,714.5,698.0,709.5,702.0,425983.0,584.623046875
2014-04-11,697.5,684.5,697.0,690.0,385323.0,574.6295166015625
2014-04-14,694.0,684.5,688.5,689.0,412503.0,573.7966918945312
2014-04-15,692.0,674.0700073242188,686.0,678.0,460883.0,564.6360473632812
2014-04-16,713.0,683.0,683.0,708.0,985470.0,589.6199340820312
2014-04-17,752.0,709.5,709.5,747.0,761470.0,622.0989379882812
2014-04-22,752.0,738.0,745.5,739.0,398666.0,615.4365234375
2014-04-23,744.5,733.5,737.0,738.5,173473.0,615.0202026367188
2014-04-24,750.0,737.5,737.5,742.0,503094.0,617.9349975585938
2014-04-25,745.5,731.0,738.0,731.0,209630.0,608.7742309570312
2014-04-28,741.0,729.5,729.5,735.0,244784.0,612.1053466796875
2014-04-29,753.5,737.0,742.0,741.0,349357.0,617.1022338867188
2014-04-30,742.5,724.5,740.0,724.5,428387.0,603.3610229492188
