Date,High,Low,Open,Close,Volume,Adj Close
2014-01-02,885.0,872.5,883.5,874.0,183835.0,664.93994140625
2014-01-03,877.5,868.5,872.0,870.5,228878.0,662.2769775390625
2014-01-06,874.0,865.0,872.5,872.0,342622.0,663.4182739257812
2014-01-07,873.0,870.0,872.5,872.0,476243.0,663.4182739257812
2014-01-08,882.5,871.0,872.0,880.0,414234.0,669.5045776367188
2014-01-09,881.0,870.5,880.0,875.0,213208.0,665.70068359375
2014-01-10,898.0,878.0,878.0,896.0,326060.0,681.677490234375
2014-01-13,929.5,887.0750122070312,900.0,922.0,564154.0,701.4583740234375
2014-01-14,926.5,911.0750122070312,924.5,924.0,310213.0,702.9799194335938
2014-01-15,933.5,918.0,927.0,925.0,237377.0,703.74072265625
2014-01-16,927.5,913.0,927.0,917.5,302624.0,698.03466796875
2014-01-17,923.0,909.5,920.0,913.5,240538.0,694.9915161132812
2014-01-20,918.5,910.0,915.0,911.5,201171.0,693.4699096679688
2014-01-21,917.0,901.0,917.0,902.5,157722.0,686.6227416992188
2014-01-22,910.0,897.5,903.5,900.0,96218.0,684.7207641601562
2014-01-23,904.3740234375,884.0,894.5,887.0,144012.0,674.8302001953125
2014-01-24,888.0,861.5,880.5,870.5,309172.0,662.2769775390625
2014-01-27,876.0,856.5,876.0,859.5,319978.0,653.9082641601562
2014-01-28,874.5,855.9199829101562,862.5,865.0,254994.0,658.0926513671875
2014-01-29,875.0,844.5,873.0,848.0,299657.0,645.1590576171875
2014-01-30,859.5,843.0,847.0,851.5,294624.0,647.8218994140625
2014-01-31,860.5,842.5,847.0,857.5,319523.0,652.38671875
2014-02-03,873.75,847.0,851.5,847.5,183693.0,644.7787475585938
2014-02-04,853.0,839.9000244140625,841.5,843.5,215629.0,641.7354125976562
2014-02-05,861.2760009765625,840.5,848.5,850.0,268913.0,646.6806640625
2014-02-06,863.5,847.0250244140625,858.0,861.5,242310.0,655.429931640625
2014-02-07,880.5,855.5,855.5,872.5,286054.0,663.7987060546875
2014-02-10,876.8200073242188,866.0,870.0,870.0,180034.0,661.896728515625
2014-02-11,886.5,866.4000244140625,869.0,884.0,205199.0,672.5478515625
2014-02-12,893.0,879.5,893.0,881.0,136007.0,670.2655029296875
2014-02-13,882.6599731445312,872.0,877.0,876.0,165470.0,666.4614868164062
2014-02-14,879.4600219726562,870.5,870.5,872.5,116162.0,663.7987060546875
2014-02-17,880.0,868.0,868.0,880.0,174287.0,669.5045776367188
2014-02-18,888.5,877.0,879.0,887.5,202871.0,675.2107543945312
2014-02-19,888.5,875.0,883.5,882.0,259976.0,671.0262451171875
2014-02-20,888.0,865.0,872.5,884.0,278676.0,672.5478515625
2014-02-21,894.5,885.0,886.5,891.0,230807.0,677.8734741210938
2014-02-24,908.0,886.0,887.0,908.0,344703.0,690.8070678710938
2014-02-25,919.5,902.0499877929688,903.0,914.0,407752.0,695.3719482421875
2014-02-26,920.0,901.0,909.5,901.0,199795.0,685.4815063476562
2014-02-27,910.0,893.0,898.5,907.0,294787.0,690.0463256835938
2014-02-28,922.5,908.5499877929688,910.5,919.5,216499.0,699.556396484375
2014-03-03,914.0,898.5,906.5,901.0,283782.0,685.4815063476562
2014-03-04,923.0,905.5,905.5,921.5,239922.0,701.077880859375
2014-03-05,922.0,913.5,919.5,914.0,169370.0,695.3719482421875
2014-03-06,922.0,909.5,922.0,912.5,170694.0,694.230712890625
2014-03-07,920.5,903.0,909.5,903.5,162266.0,687.3834838867188
2014-03-10,912.0,892.0,898.5,901.0,293904.0,685.4815063476562
2014-03-11,917.0,901.0,901.0,910.5,217043.0,692.7091064453125
2014-03-12,921.0,901.5,913.5,901.5,314662.0,685.8619384765625
2014-03-13,914.0,903.2000122070312,904.0,911.0,324621.0,693.0895385742188
2014-03-14,915.5,900.5,910.0,906.5,347727.0,689.6658935546875
2014-03-17,919.5,908.0,910.0,917.5,245514.0,698.03466796875
2014-03-18,920.0,904.5,909.5,917.0,187244.0,697.6543579101562
2014-03-19,926.0,905.0,922.5,905.0,264582.0,688.5247192382812
2014-03-20,905.5,891.2000122070312,905.5,897.5,300472.0,682.8186645507812
2014-03-21,907.0,887.0,896.0,895.0,439090.0,680.916748046875
2014-03-24,900.5,874.0999755859375,900.5,881.0,203444.0,670.2655029296875
2014-03-25,900.0,883.0,886.5,891.5,194049.0,678.25390625
2014-03-26,905.0,894.125,895.0,896.5,201148.0,682.057861328125
2014-03-27,900.5,885.5,896.5,893.5,204223.0,679.7755126953125
2014-03-28,903.5,889.0,890.0,891.5,345633.0,678.25390625
2014-03-31,906.5,889.4749755859375,898.5,903.0,311118.0,687.0031127929688
2014-04-01,910.5,902.4000244140625,904.0,908.0,451686.0,690.8070678710938
2014-04-02,915.0,903.5,908.0,909.0,157840.0,691.5679321289062
2014-04-03,909.0,898.0,902.5,900.0,175832.0,684.7207641601562
2014-04-04,917.5,900.0,906.0,911.0,248769.0,693.0895385742188
2014-04-07,911.0,898.5,909.0,908.0,251518.0,690.8070678710938
2014-04-08,912.47998046875,877.0,905.5,883.5,239186.0,672.1675415039062
2014-04-09,917.0,885.375,890.0,914.0,274890.0,695.3719482421875
2014-04-10,916.5,897.5,912.5,898.0,226797.0,683.19921875
2014-04-11,896.5,878.5,888.5,891.5,350943.0,678.25390625
2014-04-14,887.5,862.5,886.0,875.5,254019.0,666.0811767578125
2014-04-15,885.0,861.0,872.5,862.0,194692.0,655.8103637695312
2014-04-16,879.0,860.5,872.0,875.0,231352.0,665.70068359375
2014-04-17,899.0,870.7780151367188,881.0,899.0,302737.0,683.9600219726562
2014-04-22,920.5,896.5230102539062,898.5,909.5,284491.0,691.9483032226562
2014-04-23,912.5,897.5,912.0,898.0,198054.0,683.19921875
2014-04-24,908.0,885.0,905.0,894.5,667430.0,680.536376953125
2014-04-25,894.5,885.5,894.0,888.0,209995.0,675.5911865234375
2014-04-28,910.0,885.5,890.5,896.5,324674.0,682.057861328125
2014-04-29,909.5,895.5900268554688,896.5,902.0,513344.0,686.2423706054688
2014-04-30,906.0,885.0,906.0,890.5,343351.0,677.4931640625
2014-05-01,908.9199829101562,868.5,875.0,875.0,216074.0,665.70068359375
2014-05-02,883.2009887695312,867.1950073242188,872.0,872.5,307091.0,663.7987060546875
2014-05-06,879.5,870.5,871.5,878.5,214759.0,668.3635864257812
2014-05-07,886.0,867.5,879.0,867.5,388102.0,659.9947509765625
2014-05-08,879.0,866.5,866.5,878.5,215752.0,668.3635864257812
2014-05-09,881.0,867.0,881.0,877.5,155168.0,667.602783203125
2014-05-12,883.7000122070312,873.3779907226562,877.0,880.5,174224.0,669.8850708007812
2014-05-13,889.5,876.0,880.5,877.0,113742.0,667.2222290039062
2014-05-14,891.0,874.5,884.5,877.0,176205.0,667.2222290039062
2014-05-15,878.5,833.5,873.5,837.5,434613.0,637.1707153320312
2014-05-16,848.5,802.0,834.5,809.5,569545.0,615.8682861328125
2014-05-19,834.0,798.3679809570312,814.5,825.0,619492.0,627.66064453125
