Date,High,Low,Open,Close,Volume,Adj Close
2014-01-02,825.75,805.0,825.0,822.0,1229921.0,687.9700927734375
2014-01-03,824.0,805.0,821.0,821.0,952973.0,687.1331176757812
2014-01-06,822.0,785.5,820.5,787.0,1464164.0,658.6769409179688
2014-01-07,807.0,777.5,788.5,780.5,1774969.0,653.2367553710938
2014-01-08,791.0,769.0,780.0,772.5,1296882.0,646.5411376953125
2014-01-09,772.5,762.5,770.5,768.5,1541019.0,643.193359375
2014-01-10,787.5,768.0,769.0,782.0,1689252.0,654.4922485351562
2014-01-13,795.0,781.5,785.0,784.0,1365912.0,656.1660766601562
2014-01-14,792.5,776.0,778.0,789.0,1112307.0,660.350830078125
2014-01-15,791.5,780.0,790.0,790.0,2472603.0,661.1878662109375
2014-01-16,836.0,795.5,795.5,832.5,3540838.0,696.7579345703125
2014-01-17,848.9749755859375,828.5,835.0,846.5,2579600.0,708.475341796875
2014-01-20,847.5,832.5,840.0,845.0,1457627.0,707.2198486328125
2014-01-21,854.0,816.0,847.0,819.5,2194926.0,685.877685546875
2014-01-22,837.0,818.5,825.5,819.5,2231249.0,685.877685546875
2014-01-23,831.0,805.0,814.0,807.0,1671856.0,675.415771484375
2014-01-24,816.5,799.5,808.5,807.0,2008394.0,675.415771484375
2014-01-27,815.0,796.18701171875,802.5,801.5,1766547.0,670.8125610351562
2014-01-28,826.0269775390625,805.5,805.5,822.5,1824890.0,688.3884887695312
2014-01-29,887.5,853.0,880.0,872.5,6517131.0,730.23583984375
2014-01-30,882.5,861.5,880.0,873.5,2292114.0,731.07275390625
2014-01-31,882.0,843.5,877.0,850.5,2678744.0,711.8231201171875
2014-02-03,864.5,843.5,848.0,848.0,2139316.0,709.730712890625
2014-02-04,863.5,838.5,840.0,860.5,2691180.0,720.1925659179688
2014-02-05,870.0,850.0,858.5,864.0,2152121.0,723.1217651367188
2014-02-06,882.5,864.0,867.0,875.5,1666891.0,732.7467651367188
2014-02-07,896.0,871.5,882.5,894.0,3526307.0,748.230224609375
2014-02-10,906.5,891.5,895.0,897.5,2462433.0,751.1594848632812
2014-02-11,910.0499877929688,888.5,900.0,903.0,3296391.0,755.7626953125
2014-02-12,932.0,900.5,906.5,927.5,3855742.0,776.2678833007812
2014-02-13,930.5,895.0,930.0,905.5,3191600.0,757.8550415039062
2014-02-14,940.5,907.5,909.5,938.5,2560084.0,785.4743041992188
2014-02-17,949.5,931.0,939.0,949.0,1227858.0,794.2622680664062
2014-02-18,951.0,938.0,946.0,950.0,2259169.0,795.0993041992188
2014-02-19,959.5,942.125,949.5,959.0,1583555.0,802.6317138671875
2014-02-20,951.0,930.5,945.5,950.5,3262877.0,795.5177001953125
2014-02-21,957.5,929.5,953.0,955.0,1844194.0,799.283935546875
2014-02-24,950.0,928.0,950.0,933.0,2320836.0,780.8711547851562
2014-02-25,933.5,904.5,932.5,914.5,3196519.0,765.3876342773438
2014-02-26,923.5,908.0,912.5,911.5,1422896.0,762.8767700195312
2014-02-27,926.5,909.0,913.5,921.5,2503323.0,771.2462158203125
2014-02-28,921.5,897.5,921.0,900.5,2055486.0,753.67041015625
2014-03-03,907.5,879.5,885.5,882.5,4806793.0,738.6053466796875
2014-03-04,906.0,886.5,891.0,902.5,2022508.0,755.3442993164062
2014-03-05,917.0,903.0,903.0,911.5,1550100.0,762.8767700195312
2014-03-06,920.0,911.5,914.5,915.0,2128690.0,765.8060302734375
2014-03-07,915.0,874.25,914.0,877.0,2931040.0,734.002197265625
2014-03-10,868.5,843.5,850.0,858.5,3512700.0,718.5186157226562
2014-03-11,873.0,834.5,861.0,840.0,2956416.0,703.0350952148438
2014-03-12,862.5,826.0,834.0,853.5,3914344.0,714.3338623046875
2014-03-13,858.5,835.0,854.0,835.5,2192805.0,699.2689208984375
2014-03-14,836.0,816.5,827.5,829.5,2333124.0,694.2471313476562
2014-03-17,851.75,828.0,829.5,847.5,1960554.0,709.3121948242188
2014-03-18,900.0,816.0,885.0,828.5,3881320.0,693.4102783203125
2014-03-19,813.0,773.5,799.0,785.0,5540857.0,657.0029907226562
2014-03-20,796.0,773.5,779.0,794.0,3050951.0,664.5355834960938
2014-03-21,810.9000244140625,794.4869995117188,797.0,806.5,3086513.0,674.9974975585938
2014-03-24,813.0,795.5,806.0,797.0,2494313.0,667.0464477539062
2014-03-25,818.75,799.0,800.0,818.5,4170404.0,685.0407104492188
2014-03-26,842.5,822.5,823.0,834.0,3418745.0,698.0134887695312
2014-03-27,831.0,817.0,829.0,827.5,2181803.0,692.5733642578125
2014-03-28,845.0,827.5,835.5,841.5,2171610.0,704.2904663085938
2014-03-31,854.4500122070312,832.0,844.5,835.5,1454224.0,699.2689208984375
2014-04-01,846.5,834.0,843.0,839.5,1708254.0,702.61669921875
2014-04-02,871.52001953125,848.5,850.0,856.5,2770777.0,716.8447265625
2014-04-03,860.0,841.0,853.5,845.5,2165201.0,707.6382446289062
2014-04-04,868.5,846.0,848.0,863.0,1379149.0,722.2849731445312
2014-04-07,861.5,846.5,857.0,851.5,1450289.0,712.659912109375
2014-04-08,874.0,851.5,856.0,870.5,2045605.0,728.5619506835938
2014-04-09,873.5,847.5,865.0,848.0,1891275.0,709.730712890625
2014-04-10,861.0,824.0,852.0,829.5,3305519.0,694.2471313476562
2014-04-11,833.0,809.0,821.5,825.0,3179816.0,690.4808349609375
2014-04-14,843.5,823.0,823.0,842.0,2354822.0,704.7089233398438
2014-04-15,847.0,828.0,839.0,832.5,2670480.0,696.7579345703125
2014-04-16,851.5,830.0,842.5,846.0,1588609.0,708.0567626953125
2014-04-17,847.0,827.0,847.0,828.5,3394031.0,693.4102783203125
2014-04-22,847.0,822.5,827.5,844.5,1589047.0,706.8013305664062
2014-04-23,802.2150268554688,791.5,799.0,796.5,1891008.0,709.4530029296875
2014-04-24,812.0,792.5,803.0,800.0,2293565.0,712.5703735351562
2014-04-25,810.0,789.0,809.5,790.0,2487170.0,703.6632080078125
2014-04-28,797.2039794921875,783.1500244140625,789.0,787.5,2008117.0,701.4363403320312
2014-04-29,790.5,776.0,784.5,781.0,2827474.0,695.6469116210938
2014-04-30,803.4199829101562,777.5,787.0,787.0,1878427.0,700.9911499023438
2014-05-01,791.0,760.5,791.0,776.0,1086665.0,691.1932983398438
2014-05-02,790.5,771.0,775.5,790.5,2071481.0,704.1087036132812
2014-05-06,808.5,781.8200073242188,799.5,783.5,2370264.0,697.8736572265625
2014-05-07,782.5,768.5,780.0,780.0,1929196.0,694.7562255859375
2014-05-08,781.6710205078125,775.5,776.0,779.5,1466515.0,694.3107299804688
2014-05-09,780.5,760.0,776.5,769.0,3322695.0,684.958251953125
2014-05-12,797.0,777.0,778.5,796.0,2893903.0,709.007568359375
2014-05-13,810.5,776.5,802.5,779.0,2756429.0,693.8653564453125
2014-05-14,798.5,772.93798828125,782.5,795.0,2043521.0,708.1168212890625
2014-05-15,812.875,788.3140258789062,803.0,800.0,3086146.0,712.5703735351562
2014-05-16,800.5,779.0,799.0,790.5,1997175.0,704.1087036132812
2014-05-19,801.5,792.5,793.0,800.0,1696984.0,712.5703735351562
2014-05-20,802.0,783.0,799.5,783.5,1115241.0,697.8736572265625
2014-05-21,781.0,768.0,781.0,771.0,2327588.0,686.7396850585938
2014-05-22,790.0,775.0,776.0,786.0,1585157.0,700.1004028320312
2014-05-23,800.0,783.0,788.0,799.0,1218415.0,711.6797485351562
2014-05-27,807.0,795.0,804.0,795.0,1482836.0,708.1168212890625
2014-05-28,804.5,794.0,796.0,797.5,3216487.0,710.3436279296875
2014-05-29,805.5,794.0,795.5,804.5,742122.0,716.5786743164062
2014-05-30,799.708984375,785.0,798.5,788.5,1985348.0,702.3272094726562
2014-06-02,802.0,791.0,793.0,797.5,1059883.0,710.3436279296875
2014-06-03,806.0,789.5,800.0,790.0,1337682.0,703.6632080078125
2014-06-04,791.0,772.0,788.0,778.0,2038678.0,692.9747924804688
2014-06-05,781.5,769.0,780.0,778.0,1582537.0,692.9747924804688
2014-06-06,779.5,766.0,778.5,772.5,1955060.0,688.0758666992188
2014-06-09,789.0,773.0,773.0,781.0,1138895.0,695.6469116210938
2014-06-10,780.5,769.0,780.5,773.0,1383037.0,688.5211181640625
2014-06-11,778.8909912109375,766.5,773.5,769.5,1266377.0,685.4036865234375
2014-06-12,767.0,746.5,767.0,749.5,3126060.0,667.5894165039062
2014-06-13,749.5,735.0,749.5,746.5,5958128.0,664.917236328125
2014-06-16,753.0,745.0,748.0,748.5,4880195.0,666.69873046875
2014-06-17,756.0,734.5,753.5,755.5,2757118.0,672.9336547851562
