Date,High,Low,Open,Close,Volume,Adj Close
2014-01-02,118.56300354003906,117.75,118.5,118.125,160504,118.125
2014-01-03,118.25,117.75,118.25,118.25,134610,118.25
2014-01-06,118.75,118.0,118.0,118.5,239905,118.5
2014-01-07,118.5,117.75,117.75,118.5,163127,118.5
2014-01-08,119.0,118.0,118.5,118.0,288442,118.0
2014-01-09,119.25,117.75,117.75,118.75,564625,118.75
2014-01-10,119.25,118.5,118.5,119.0,227407,119.0
2014-01-13,119.25,118.5,119.25,119.0,102180,119.0
2014-01-14,120.0,118.5,119.0,120.0,320727,120.0
2014-01-15,120.0,119.0,120.0,119.75,209699,119.75
2014-01-16,120.5,119.25,119.25,120.25,515778,120.25
2014-01-17,120.5,119.5,120.5,120.0,123303,120.0
2014-01-20,121.0,119.5,119.5,120.5,422928,120.5
2014-01-21,121.0,120.5,120.5,120.75,140634,120.75
2014-01-22,120.87000274658203,119.0,120.5,119.25,1080423,119.25
2014-01-23,119.23799896240234,118.0,119.0,118.25,362011,118.25
2014-01-24,118.99299621582031,117.5,118.25,117.5,128826,117.5
2014-01-27,118.25,117.5,118.25,117.75,252098,117.75
2014-01-28,118.0,117.25,117.5,117.25,483162,117.25
2014-01-29,118.0,117.25,118.0,118.0,152451,118.0
2014-01-30,118.0,117.25,117.25,117.75,135650,117.75
2014-01-31,118.0,117.25,117.25,117.75,117877,117.75
2014-02-03,118.0,117.25,117.25,117.75,166911,117.75
2014-02-04,118.0,117.5,117.75,117.75,567732,117.75
2014-02-05,118.0,117.0,117.0,117.25,55149,117.25
2014-02-06,118.0,117.25,117.25,117.5,39499,117.5
2014-02-07,118.0,117.5,117.5,118.0,63858,118.0
2014-02-10,118.0,117.0,118.0,118.0,63529,118.0
2014-02-11,118.5,117.0,117.0,118.5,316253,118.5
2014-02-12,118.75,117.9749984741211,118.5,118.5,168707,118.5
2014-02-13,118.75,117.75,117.75,118.75,199942,118.75
2014-02-14,120.25,118.0,118.75,120.25,731572,120.25
2014-02-17,121.0,119.75,120.5,120.5,177727,120.5
2014-02-18,121.5,120.5,121.0,121.5,352579,121.5
2014-02-19,123.25,121.0,121.0,122.0,562479,122.0
2014-02-20,122.0,121.25,122.0,122.0,259160,122.0
2014-02-21,122.0,120.75,121.25,122.0,215287,122.0
2014-02-24,122.25,121.25,121.5,122.0,379695,122.0
2014-02-25,121.75,119.0,121.5,120.5,567183,120.5
2014-02-26,120.25,119.5,119.5,120.0,82840,120.0
2014-02-27,120.0,119.0,119.5,119.25,77252,119.25
2014-02-28,120.5,119.43800354003906,119.5,120.0,103716,120.0
2014-03-03,120.5,119.25,120.0,120.25,97564,120.25
2014-03-04,120.5,119.25,119.5,120.25,158295,120.25
2014-03-05,120.5,119.25,119.25,120.5,65236,120.5
2014-03-06,121.75,120.5,120.5,121.25,801622,121.25
2014-03-07,121.25,120.0,121.25,120.0,258969,120.0
2014-03-10,121.0,119.75,120.75,119.75,95178,119.75
2014-03-11,120.5,119.75,120.25,119.75,180512,119.75
2014-03-12,120.25,119.0,120.25,119.5,385477,119.5
2014-03-13,119.5,118.5,118.5,118.5,74591,118.5
2014-03-14,119.0,118.0,118.5,118.25,287813,118.25
2014-03-17,119.0,117.25,117.5,119.0,258313,119.0
2014-03-18,119.5,118.5,118.5,119.0,657884,119.0
2014-03-19,121.0,119.0,119.5,120.75,401392,120.75
2014-03-20,121.5,120.0,121.25,121.5,316353,121.5
2014-03-21,121.5,119.25,121.5,119.25,550128,119.25
2014-03-24,120.25,118.5,119.25,118.5,345665,118.5
2014-03-25,119.75,118.5,119.75,118.5,118745,118.5
2014-03-26,118.75,117.25,118.5,118.5,1012248,118.5
2014-03-27,118.75,118.0,118.0,118.25,196888,118.25
2014-03-28,119.0,118.25,118.25,118.75,108221,118.75
2014-03-31,118.75,117.75,117.75,117.75,651732,117.75
2014-04-01,118.75,117.5,117.75,118.0,138442,118.0
2014-04-02,119.0,118.0,118.0,118.25,108481,118.25
2014-04-03,118.75,118.0,118.25,118.0,283081,118.0
2014-04-04,118.75,118.0,118.0,118.0,43832,118.0
2014-04-07,118.75,118.0,118.0,118.5,282005,118.5
2014-04-08,119.0,118.0,119.0,118.5,121521,118.5
2014-04-09,117.0,113.5,117.0,115.75,39568720,115.75
2014-04-10,116.25,115.5,116.0,115.5,647631,115.5
2014-04-11,116.5,115.25,115.25,116.5,2070409,116.5
2014-04-14,116.89800262451172,115.75,115.75,116.75,316360,116.75
2014-04-15,117.0,116.25,117.0,116.5,77308,116.5
2014-04-16,118.5,116.87000274658203,117.0,117.25,625792,117.25
2014-04-17,118.5,117.375,118.25,118.25,908081,118.25
2014-04-22,119.0,118.25,118.5,118.5,313332,118.5
2014-04-23,119.0,118.25,118.25,118.5,312632,118.5
2014-04-24,119.5,118.5,118.5,119.0,1266600,119.0
2014-04-25,119.25,118.75,118.75,119.0,160065,119.0
2014-04-28,119.0,118.0,118.5,118.5,545537,118.5
2014-04-29,119.25,118.25,119.25,118.75,96890,118.75
2014-04-30,119.25,118.25,118.25,118.25,139154,118.25
2014-05-01,119.0,118.25,118.25,119.0,396196,119.0
2014-05-02,119.25,118.25,119.25,119.25,257924,119.25
2014-05-06,119.25,118.25,118.25,119.0,215484,119.0
2014-05-07,117.5,116.36000061035156,117.5,117.0,632145,117.0
2014-05-08,117.5,116.5,116.5,117.25,2261119,117.25
2014-05-09,117.5,117.0,117.5,117.5,214429,117.5
2014-05-12,117.25,116.5,116.75,116.75,457986,116.75
2014-05-13,117.5,116.75,117.5,117.5,772614,117.5
2014-05-14,118.0,116.75,118.0,117.25,190529,117.25
2014-05-15,117.75,115.41799926757812,116.75,115.5,583466,115.5
2014-05-16,116.5,115.0,116.5,115.25,1028548,115.25
2014-05-19,116.0,115.0,116.0,115.25,283404,115.25
2014-05-20,116.13700103759766,115.19499969482422,116.0,115.5,891883,115.5
2014-05-21,116.5,115.0,116.5,116.0,105858,116.0
2014-05-22,116.5,115.5,116.5,115.75,343669,115.75
2014-05-23,116.0,115.25,115.5,115.25,99118,115.25
2014-05-27,116.75,115.0,116.75,115.0,247307,115.0
2014-05-28,116.5,114.5,116.5,115.25,835838,115.25
2014-05-29,115.5,114.75,115.5,115.0,191242,115.0
2014-05-30,115.5,114.5,115.5,115.5,201237,115.5
2014-06-02,115.5,114.75,115.5,115.0,304042,115.0
2014-06-03,115.75,114.75,115.75,115.25,698507,115.25
2014-06-04,115.75,115.25,115.75,115.25,155495,115.25
2014-06-05,115.75,115.0,115.0,115.5,147287,115.5
2014-06-06,115.75,115.0,115.75,115.5,346341,115.5
2014-06-09,116.0,115.0,115.75,115.75,561712,115.75
2014-06-10,116.0,115.25,116.0,115.5,597294,115.5
2014-06-11,116.0,114.75,116.0,115.5,196582,115.5
2014-06-12,116.4000015258789,115.25,115.25,115.5,594580,115.5
2014-06-13,116.0,115.0,116.0,115.0,157003,115.0
2014-06-16,115.83499908447266,115.0,115.75,115.75,213900,115.75
2014-06-17,116.0,115.0,115.0,115.25,168610,115.25
2014-06-18,116.38999938964844,115.25,115.25,116.25,305668,116.25
2014-06-19,117.5,115.75,115.75,117.25,1110721,117.25
2014-06-20,119.25,116.75,117.25,119.25,1334630,119.25
2014-06-23,118.9000015258789,117.0,117.0,118.75,473825,118.75
2014-06-24,119.25,118.0,118.0,119.25,165837,119.25
2014-06-25,119.5,118.5,118.5,119.5,270458,119.5
2014-06-26,119.75,118.75,118.75,119.75,203122,119.75
2014-06-27,120.0,119.0,119.5,120.0,140648,120.0
2014-06-30,119.5,118.5,119.0,119.5,245476,119.5
2014-07-01,119.5,118.5,118.5,119.5,230474,119.5
2014-07-02,120.0,119.0,120.0,119.75,1460744,119.75
2014-07-03,120.0,118.25,120.0,118.5,403337,118.5
2014-07-04,119.12300109863281,118.25,119.0,118.75,204623,118.75
2014-07-07,119.25,117.5,119.25,118.25,320584,118.25
2014-07-08,118.55000305175781,117.5,117.5,117.75,501301,117.75
2014-07-09,119.25,117.75,118.25,119.0,632626,119.0
2014-07-10,119.25,118.43800354003906,118.5,119.25,170111,119.25
2014-07-11,119.25,118.25,118.25,119.25,175037,119.25
2014-07-14,119.5,118.25,118.25,119.0,114147,119.0
2014-07-15,119.75,118.875,119.0,119.25,319159,119.25
2014-07-16,119.69499969482422,119.0,119.0,119.25,544400,119.25
2014-07-17,119.75,118.75,119.5,119.75,137731,119.75
2014-07-18,119.25,118.5,118.75,119.0,182524,119.0
2014-07-21,119.25,118.5,119.25,118.5,146848,118.5
2014-07-22,119.25,118.25,118.75,118.25,413866,118.25
2014-07-23,119.5,118.75,119.0,119.25,210616,119.25
2014-07-24,119.75,119.0,119.75,119.5,139093,119.5
2014-07-25,119.75,119.0,119.75,119.5,221331,119.5
2014-07-28,119.75,119.0,119.0,119.75,372481,119.75
2014-07-29,122.0,119.25,119.25,121.25,438320,121.25
2014-07-30,122.0,121.25,121.25,122.0,652448,122.0
2014-07-31,122.44499969482422,121.5,121.5,122.25,40717,122.25
2014-08-01,122.75,122.0,122.0,122.5,220389,122.5
2014-08-04,122.75,122.0,122.25,122.0,80348,122.0
2014-08-05,123.0,121.25,123.0,121.25,280379,121.25
2014-08-06,122.0,120.75,121.5,121.5,458823,121.5
2014-08-07,122.0,121.25,121.25,121.25,274738,121.25
2014-08-08,122.25,121.5,121.5,121.75,1288768,121.75
2014-08-11,122.25,121.0,121.0,122.0,88642,122.0
2014-08-12,122.0,121.25,121.25,122.0,105727,122.0
2014-08-13,122.25,121.25,121.25,122.25,51593,122.25
2014-08-14,122.25,121.75,122.25,122.0,263579,122.0
2014-08-15,122.25,121.75,122.25,122.0,244986,122.0
2014-08-18,122.5,121.75,122.5,122.0,39316,122.0
2014-08-19,122.5,121.5,122.5,121.5,247053,121.5
2014-08-20,122.5,121.0,122.5,121.5,151739,121.5
2014-08-21,122.0,121.0,122.0,121.5,179802,121.5
2014-08-22,122.0,121.25,122.0,121.75,129702,121.75
2014-08-26,122.5,121.5,122.0,122.25,460122,122.25
2014-08-27,122.75,122.25,122.75,122.75,1845035,122.75
2014-08-28,123.75,122.5,123.25,123.75,504252,123.75
2014-08-29,125.0,124.0,124.0,125.0,468521,125.0
2014-09-01,125.0,124.0,125.0,125.0,160282,125.0
